cntry,country,year,pop,unempl,gdp,gov_debt,date,imports,exports,debt_share_country,debt_share_year
BEL,Belgium,1991,10,6.4,171.1604,NA,1991-01-01,99463,102.0142,NA,0.570213812191712
BGR,Bulgaria,1991,8.63,NA,4.42781,NA,1991-01-01,1.04864,1.57706,NA,0.570213812191712
CZE,Czech Republic,1991,10.31,NA,25.1827,NA,1991-01-01,8.3461,9.7615,NA,0.570213812191712
DNK,Denmark,1991,5.15,7.9,112.6055,NA,1991-01-01,35.4302,42.4326,NA,0.570213812191712
DEU,Germany,1991,80.01,5.6,1506.67,NA,1991-01-01,365288,357531,NA,0.570213812191712
EST,Estonia,1991,1.56,NA,NA,NA,1991-01-01,NA,NA,NA,0.570213812191712
IRL,Ireland,1991,3.53,14.7,40.3278,NA,1991-01-01,20.4898,22.3928,NA,0.570213812191712
GRC,Greece,1991,10.32,7.1,85.0924,NA,1991-01-01,20.75683,12.08284,NA,0.570213812191712
ESP,Spain,1991,38.97,15.5,465557,NA,1991-01-01,91.5967,73.7264,NA,0.570213812191712
FRA,France,1991,58.46,8.1,1032017,NA,1991-01-01,221.8685,218.4614,NA,0.570213812191712
HRV,Croatia,1991,4.69,NA,NA,NA,1991-01-01,NA,NA,NA,0.570213812191712
ITA,Italy,1991,56.76,8.5,1005013,947.8,1991-01-01,169.7797,171.7484,0.943072378168243,0.570213812191712
CYP,Cyprus,1991,0.6,NA,5.23251,NA,1991-01-01,4.04737,3.52797,NA,0.570213812191712
LVA,Latvia,1991,2.65,0.5,NA,NA,1991-01-01,NA,NA,NA,0.570213812191712
LTU,Lithuania,1991,3.7,0.3,NA,NA,1991-01-01,NA,NA,NA,0.570213812191712
LUX,Luxembourg,1991,0.39,1.6,11.5827,NA,1991-01-01,9.9606,11.3158,NA,0.570213812191712
HUN,Hungary,1991,10.37,NA,18.2107,NA,1991-01-01,5.3934,5.2484,NA,0.570213812191712
MLT,Malta,1991,0.36,4.7,2.29976,NA,1991-01-01,2.76356,2.60717,NA,0.570213812191712
NLD,Netherlands,1991,15.07,5.7,261.5725,NA,1991-01-01,131.2196,145.1324,NA,0.570213812191712
AUT,Austria,1991,7.75,3.5,140273,NA,1991-01-01,49.8159,48.6383,NA,0.570213812191712
POL,Poland,1991,38.25,NA,44.8633,NA,1991-01-01,10.2717,9.55,NA,0.570213812191712
PRT,Portugal,1991,9.96,5,72534,NA,1991-01-01,25.18363,18.42948,NA,0.570213812191712
ROM,Romania,1991,23,NA,16.0921,NA,1991-01-01,3.1801,2.61308,NA,0.570213812191712
SVN,Slovenia,1991,2,NA,10.04382,NA,1991-01-01,6.66453,7.40522,NA,0.570213812191712
SVK,Slovakia,1991,5.3,NA,NA,NA,1991-01-01,NA,NA,NA,0.570213812191712
FIN,Finland,1991,5.01,6.6,103.3669,20.4,1991-01-01,22.95035,21.96971,0.197355246215181,0.570213812191712
SWE,Sweden,1991,8.62,3.1,217195,NA,1991-01-01,55.0514,58.7594,NA,0.570213812191712
GBR,United Kingdom,1991,57.42,8.6,995758,NA,1991-01-01,205.6765,202.2899,NA,0.570213812191712
BEL,Belgium,1992,10.05,7.1,182.4542,NA,1992-01-01,102.2105,106.1804,NA,0.525168601613298
BGR,Bulgaria,1992,8.54,NA,4.34449,NA,1992-01-01,1.39017,1.67767,NA,0.525168601613298
CZE,Czech Republic,1992,10.32,NA,26.4467,NA,1992-01-01,10.3155,10.6333,NA,0.525168601613298
DNK,Denmark,1992,5.17,8.6,118195,NA,1992-01-01,35.5147,43.6782,NA,0.525168601613298
DEU,Germany,1992,80.62,6.6,1641.21,NA,1992-01-01,373972,365395,NA,0.525168601613298
EST,Estonia,1992,1.53,NA,NA,NA,1992-01-01,NA,NA,NA,0.525168601613298
IRL,Ireland,1992,3.56,15.4,43.2475,NA,1992-01-01,22.0949,25234,NA,0.525168601613298
GRC,Greece,1992,10.4,7.9,89.6837,NA,1992-01-01,21.47353,13.34345,NA,0.525168601613298
ESP,Spain,1992,39.16,17,486067,NA,1992-01-01,95.9844,79.0605,NA,0.525168601613298
FRA,France,1992,58.75,9,1088897,NA,1992-01-01,223.3106,230.2931,NA,0.525168601613298
HRV,Croatia,1992,4.58,NA,NA,NA,1992-01-01,NA,NA,NA,0.525168601613298
ITA,Italy,1992,56.8,8.8,1016379,920.7,1992-01-01,177.7358,178.2091,0.905862872019198,0.525168601613298
CYP,Cyprus,1992,0.61,NA,5.96281,NA,1992-01-01,4.89934,4.24509,NA,0.525168601613298
LVA,Latvia,1992,2.61,3,1.37283,NA,1992-01-01,0.79335,0.80262,NA,0.525168601613298
LTU,Lithuania,1992,3.7,1.4,1.66621,NA,1992-01-01,0.25987,0.2895,NA,0.525168601613298
LUX,Luxembourg,1992,0.39,2.1,12.41857,NA,1992-01-01,10.0667,12.0097,NA,0.525168601613298
HUN,Hungary,1992,10.37,NA,17.6541,NA,1992-01-01,4.9163,4.8838,NA,0.525168601613298
MLT,Malta,1992,0.37,5.2,2.41392,NA,1992-01-01,2.92848,2.89177,NA,0.525168601613298
NLD,Netherlands,1992,15.18,5.7,277009,NA,1992-01-01,135137,148.8642,NA,0.525168601613298
AUT,Austria,1992,7.84,3.5,150.4227,NA,1992-01-01,51.9394,49.9935,NA,0.525168601613298
POL,Poland,1992,38.36,13.4,43.2261,NA,1992-01-01,8.6222,9.2709,NA,0.525168601613298
PRT,Portugal,1992,9.95,5,83.3669,NA,1992-01-01,27.0669,19.4891,NA,0.525168601613298
ROM,Romania,1992,22.79,8.3,9.4989,NA,1992-01-01,3.1552,2.43525,NA,0.525168601613298
SVN,Slovenia,1992,2,NA,10.2843,NA,1992-01-01,5.16396,5.73154,NA,0.525168601613298
SVK,Slovakia,1992,5.31,NA,NA,NA,1992-01-01,NA,NA,NA,0.525168601613298
FIN,Finland,1992,5.04,11.7,86.8787,31.2,1992-01-01,21.43912,22.17427,0.359121395693076,0.525168601613298
SWE,Sweden,1992,8.67,5.6,215.9947,NA,1992-01-01,54.1804,57946,NA,0.525168601613298
GBR,United Kingdom,1992,57.58,9.8,978032,303.7,1992-01-01,208666,202318,0.31052153712762,0.525168601613298
BEL,Belgium,1993,10.08,8.6,193.1241,NA,1993-01-01,101.7355,107.2276,NA,0.689162240085214
BGR,Bulgaria,1993,8.47,NA,10.21869,NA,1993-01-01,2.83,3.1996,NA,0.689162240085214
CZE,Czech Republic,1993,10.33,4.2,34.5139,NA,1993-01-01,13.5175,13.9044,NA,0.689162240085214
DNK,Denmark,1993,5.19,9.6,122.2697,NA,1993-01-01,35.5056,44.7094,NA,0.689162240085214
DEU,Germany,1993,81.16,7.8,1766.10,NA,1993-01-01,358341,359.48,NA,0.689162240085214
EST,Estonia,1993,1.49,6.6,1.48843,NA,1993-01-01,1.04205,0.9827,NA,0.689162240085214
IRL,Ireland,1993,3.58,15.6,44.4197,NA,1993-01-01,23.6238,28.1196,NA,0.689162240085214
GRC,Greece,1993,10.46,8.6,92.8823,NA,1993-01-01,21.34254,13.0478,NA,0.689162240085214
ESP,Spain,1993,39.36,20.8,446903,NA,1993-01-01,85.8041,79523,NA,0.689162240085214
FRA,France,1993,59,10.1,1135574,NA,1993-01-01,215.3203,234.0438,NA,0.689162240085214
HRV,Croatia,1993,4.6,NA,8.86383,NA,1993-01-01,NA,NA,NA,0.689162240085214
ITA,Italy,1993,56.83,9.7,907164,972.9,1993-01-01,157.9605,185.6307,1.07246319298385,0.689162240085214
CYP,Cyprus,1993,0.63,NA,6.32147,NA,1993-01-01,4.09158,4.28016,NA,0.689162240085214
LVA,Latvia,1993,2.56,6.7,2.26369,NA,1993-01-01,1.0201,1.21238,NA,0.689162240085214
LTU,Lithuania,1993,3.68,4.8,2.38899,NA,1993-01-01,1.68923,1.46713,NA,0.689162240085214
LUX,Luxembourg,1993,0.4,2.6,14.09326,NA,1993-01-01,11.2322,13.6661,NA,0.689162240085214
HUN,Hungary,1993,10.36,NA,34.1781,NA,1993-01-01,10.3876,7.9407,NA,0.689162240085214
MLT,Malta,1993,0.37,5.7,2.39611,NA,1993-01-01,3.08343,2.97763,NA,0.689162240085214
NLD,Netherlands,1993,15.29,6.5,298.0233,NA,1993-01-01,138.5277,157.8649,NA,0.689162240085214
AUT,Austria,1993,7.91,4,162.1488,NA,1993-01-01,51.6461,51.1415,NA,0.689162240085214
POL,Poland,1993,38.46,14.1,82.1211,NA,1993-01-01,16.2307,17.0465,NA,0.689162240085214
PRT,Portugal,1993,9.96,6.3,80.8658,NA,1993-01-01,24.81241,18.62287,NA,0.689162240085214
ROM,Romania,1993,22.76,10.6,24.0076,NA,1993-01-01,6.16561,5.09741,NA,0.689162240085214
SVN,Slovenia,1993,1.99,NA,11.51116,NA,1993-01-01,5.93209,5.96918,NA,0.689162240085214
SVK,Slovakia,1993,5.33,NA,11.74456,NA,1993-01-01,7.00713,6.47565,NA,0.689162240085214
FIN,Finland,1993,5.07,16.3,76137,42.7,1993-01-01,20.38299,23.88137,0.560831133351721,0.689162240085214
SWE,Sweden,1993,8.72,9.1,179.1514,NA,1993-01-01,50.0426,56.0878,NA,0.689162240085214
GBR,United Kingdom,1993,57.72,10.2,972.38,422.2,1993-01-01,221.3954,218.2313,0.434192393920072,0.689162240085214
BEL,Belgium,1994,10.12,9.8,207.7132,NA,1994-01-01,113.3553,120.0908,NA,0.707238312312162
BGR,Bulgaria,1994,8.44,NA,9.01443,NA,1994-01-01,2.48855,3.32826,NA,0.707238312312162
CZE,Czech Republic,1994,10.33,4.2,39.9227,NA,1994-01-01,15.4029,14.9396,NA,0.707238312312162
DNK,Denmark,1994,5.21,7.7,131.6783,NA,1994-01-01,40.7263,48526,NA,0.707238312312162
DEU,Germany,1994,81.44,8.4,1860.06,NA,1994-01-01,389458,393123,NA,0.707238312312162
EST,Estonia,1994,1.46,7.6,2.05687,NA,1994-01-01,1.67394,1.46326,NA,0.707238312312162
IRL,Ireland,1994,3.59,14.3,48.1537,NA,1994-01-01,28156,32693,NA,0.707238312312162
GRC,Greece,1994,10.51,8.9,98.2176,NA,1994-01-01,21.33052,14.18858,NA,0.707238312312162
ESP,Spain,1994,39.55,22,446014,NA,1994-01-01,94.9416,91.0241,NA,0.707238312312162
FRA,France,1994,59.21,10.4,1182191,NA,1994-01-01,236.5946,253.7204,NA,0.707238312312162
HRV,Croatia,1994,4.65,NA,12.55276,NA,1994-01-01,NA,NA,NA,0.707238312312162
ITA,Italy,1994,56.84,10.6,922514,1036.7,1994-01-01,171.9571,202.3934,1.12377698333033,0.707238312312162
CYP,Cyprus,1994,0.64,NA,7.03645,NA,1994-01-01,4569,4.78366,NA,0.707238312312162
LVA,Latvia,1994,2.52,13.1,3.76638,NA,1994-01-01,1.32244,1.27953,NA,0.707238312312162
LTU,Lithuania,1994,3.66,4.2,3.74586,NA,1994-01-01,1.79967,1.54322,NA,0.707238312312162
LUX,Luxembourg,1994,0.4,3.2,15.46135,NA,1994-01-01,12.4881,15.4893,NA,0.707238312312162
HUN,Hungary,1994,10.34,NA,36186,NA,1994-01-01,11.2477,9208,NA,0.707238312312162
MLT,Malta,1994,0.37,5.6,2.61263,NA,1994-01-01,3.42099,3.29203,NA,0.707238312312162
NLD,Netherlands,1994,15.38,7.2,315.6356,NA,1994-01-01,152687,173.9426,NA,0.707238312312162
AUT,Austria,1994,7.94,4.3,171295,NA,1994-01-01,58.0375,55219,NA,0.707238312312162
POL,Poland,1994,38.54,14.4,93.2149,NA,1994-01-01,18032,19.9435,NA,0.707238312312162
PRT,Portugal,1994,9.99,7.6,83.8798,NA,1994-01-01,27.0312,20.6007,NA,0.707238312312162
ROM,Romania,1994,22.73,11.1,26.7965,NA,1994-01-01,6.63061,6.15541,NA,0.707238312312162
SVN,Slovenia,1994,1.99,NA,12.8901,NA,1994-01-01,6.65673,6.82328,NA,0.707238312312162
SVK,Slovakia,1994,5.35,NA,13.37627,NA,1994-01-01,7.08645,7.7789,NA,0.707238312312162
FIN,Finland,1994,5.09,16.6,87.1753,52,1994-01-01,24.74614,29.66445,0.596499237742801,0.707238312312162
SWE,Sweden,1994,8.78,9.4,190.3765,NA,1994-01-01,57.9436,65.6618,NA,0.707238312312162
GBR,United Kingdom,1994,57.87,9.3,1027305,412.4,1994-01-01,242.6769,242.5829,0.401438715863351,0.707238312312162
BEL,Belgium,1995,10.14,9.7,221.4305,288,1995-01-01,124.0535,131.7234,1.30063383318919,0.509498847265162
BGR,Bulgaria,1995,8.41,10,11.03419,NA,1995-01-01,3.32814,4.69522,NA,0.509498847265162
CZE,Czech Republic,1995,10.33,3.9,45.5417,6.14,1995-01-01,19.8879,18.4724,0.134821493268806,0.509498847265162
DNK,Denmark,1995,5.23,6.7,141.4407,NA,1995-01-01,45.1997,51.8607,NA,0.509498847265162
DEU,Germany,1995,81.68,8.2,1982.06,1079.9,1995-01-01,426902,436181,0.54483691470646,0.509498847265162
EST,Estonia,1995,1.44,9.8,2.90229,236,1995-01-01,2.18687,1.9692,0.0813150994559469,0.509498847265162
IRL,Ireland,1995,3.61,12.3,52.9336,41.3,1995-01-01,33.0948,38.8783,0.780222769658591,0.509498847265162
GRC,Greece,1995,10.56,9.2,104662,100.8,1995-01-01,23.74005,15.09779,0.963100265616938,0.509498847265162
ESP,Spain,1995,39.72,20.7,468879,295.6,1995-01-01,107.3659,102.8337,0.630439836290386,0.509498847265162
FRA,France,1995,59.42,10.2,1231446,696.3,1995-01-01,256.9548,275.9166,0.565432832621162,0.509498847265162
HRV,Croatia,1995,4.62,NA,17.12958,NA,1995-01-01,6.14851,4.72978,NA,0.509498847265162
ITA,Italy,1995,56.84,11.2,895337,1070.6,1995-01-01,188.6969,221.5913,1.19575087369337,0.509498847265162
CYP,Cyprus,1995,0.65,NA,7.59606,3.59,1995-01-01,5.13694,5.07132,0.472613433806473,0.509498847265162
LVA,Latvia,1995,2.49,14.9,4.13689,0.56,1995-01-01,1.6262,1.43,0.135367389512412,0.509498847265162
LTU,Lithuania,1995,3.63,6.8,5.1241,0.59,1995-01-01,2.4479,1.90332,0.115142171308132,0.509498847265162
LUX,Luxembourg,1995,0.41,2.9,16.50835,1.4,1995-01-01,13.5599,16917,0.0848055680912992,0.509498847265162
HUN,Hungary,1995,10.33,9.7,35.3655,26.76,1995-01-01,13.8725,13884,0.756669635661874,0.509498847265162
MLT,Malta,1995,0.38,4.8,2.82901,968,1995-01-01,3.7259,3.45908,0.3421691687198,0.509498847265162
NLD,Netherlands,1995,15.46,8.3,341.5855,250.3,1995-01-01,173.4055,196.7906,0.732759440901326,0.509498847265162
AUT,Austria,1995,7.95,4.2,183907,124.4,1995-01-01,63959,61.8187,0.676428847189068,0.509498847265162
POL,Poland,1995,38.59,13.2,108716,50.5,1995-01-01,22.5236,24.9618,0.464513043158321,0.509498847265162
PRT,Portugal,1995,10.03,7.9,91.0246,53,1995-01-01,30.1669,24.36324,0.582260180215019,0.509498847265162
ROM,Romania,1995,22.68,9.7,28765,1.49,1995-01-01,8.76659,7.3281,0.0517990613592908,0.509498847265162
SVN,Slovenia,1995,1.99,6.8,16.27975,2.79,1995-01-01,7.79093,7.42468,0.171378553110459,0.509498847265162
SVK,Slovakia,1995,5.36,12.1,15.25937,3.3,1995-01-01,8.3245,8.64976,0.21626056645851,0.509498847265162
FIN,Finland,1995,5.11,15.4,102.6508,56.5,1995-01-01,29.05711,36.71041,0.550409738647921,0.509498847265162
SWE,Sweden,1995,8.83,8.8,201.8408,150.6,1995-01-01,63.8306,76.7053,0.746132595590188,0.509498847265162
GBR,United Kingdom,1995,58.02,8.5,1009.48,446.4,1995-01-01,253.8463,256.7348,0.442207869398106,0.509498847265162
BEL,Belgium,1996,10.16,9.5,221.6638,278,1996-01-01,127.7168,133.9805,1.25415155744871,0.511216829285605
BGR,Bulgaria,1996,8.36,9.5,7.98787,NA,1996-01-01,3.62569,4.7111,NA,0.511216829285605
CZE,Czech Republic,1996,10.32,3.8,52605,6.14,1996-01-01,22.7846,20.2202,0.116718943066248,0.511216829285605
DNK,Denmark,1996,5.26,6.3,147.8426,NA,1996-01-01,46.5044,54.8775,NA,0.511216829285605
DEU,Germany,1996,81.91,8.9,1973.02,1115.7,1996-01-01,435802,451991,0.565479162115684,0.511216829285605
EST,Estonia,1996,1.42,10.2,3.73855,277,1996-01-01,2.70301,2.31022,0.0740928969787752,0.511216829285605
IRL,Ireland,1996,3.64,11.7,59.76,44.4,1996-01-01,38.1858,44.7206,0.742971887550201,0.511216829285605
GRC,Greece,1996,10.61,9.6,114.9082,115,1996-01-01,26.66936,16.41688,1.00079889859906,0.511216829285605
ESP,Spain,1996,39.89,19.9,505108,324.3,1996-01-01,117.2355,116.7729,0.642040910062799,0.511216829285605
FRA,France,1996,59.62,10.5,1271857,751.2,1996-01-01,268.5413,290.2688,0.590632437451695,0.511216829285605
HRV,Croatia,1996,4.56,NA,18.65712,NA,1996-01-01,6.9515,5.73329,NA,0.511216829285605
ITA,Italy,1996,56.86,11.2,1031004,1227.8,1996-01-01,198.1581,244.9967,1.19087801793204,0.511216829285605
CYP,Cyprus,1996,0.66,NA,7.89,3.9,1996-01-01,5.57368,5.53947,0.494296577946768,0.511216829285605
LVA,Latvia,1996,2.46,15.9,4.69952,0.62,1996-01-01,2.32469,1.90098,0.13192836715239,0.511216829285605
LTU,Lithuania,1996,3.6,7.7,6.60388,0.93,1996-01-01,3.38342,2.7697,0.140826302113303,0.511216829285605
LUX,Luxembourg,1996,0.41,2.9,17.15641,1.37,1996-01-01,14.3956,18.2757,0.0798535357921616,0.511216829285605
HUN,Hungary,1996,10.31,9.9,36.6638,24.54,1996-01-01,15.1967,15.3823,0.669325056322585,0.511216829285605
MLT,Malta,1996,0.38,5.2,2.99758,1177,1996-01-01,3.70099,3.42041,0.39265007105732,0.511216829285605
NLD,Netherlands,1996,15.53,7.7,351.1592,246.3,1996-01-01,180.7878,202.4281,0.701391277802205,0.511216829285605
AUT,Austria,1996,7.96,4.7,186.5497,124.4,1996-01-01,66.9351,64.0351,0.666846422159886,0.511216829285605
POL,Poland,1996,38.62,12.1,126.0028,50.8,1996-01-01,29.4607,27.8399,0.403165643938071,0.511216829285605
PRT,Portugal,1996,10.06,8,96.6268,57.4,1996-01-01,32.52594,25.65132,0.594038092951438,0.511216829285605
ROM,Romania,1996,22.62,7,29.2273,2.33,1996-01-01,9.96561,7.68168,0.079719987819607,0.511216829285605
SVN,Slovenia,1996,1.99,6.9,16.92471,3.54,1996-01-01,8.02881,7.81741,0.209161634084129,0.511216829285605
SVK,Slovakia,1996,5.37,11.1,16.99027,5.05,1996-01-01,10.69308,8.88367,0.297228943389363,0.511216829285605
FIN,Finland,1996,5.12,14.6,104.1187,57.7,1996-01-01,30.62043,37.82386,0.554175186589921,0.511216829285605
SWE,Sweden,1996,8.84,9.6,226.9041,157.3,1996-01-01,69.5584,83.5764,0.693244414710884,0.511216829285605
GBR,United Kingdom,1996,58.17,7.9,1097201,542.9,1996-01-01,283.4573,285.4283,0.494804507104897,0.511216829285605
BEL,Belgium,1997,10.18,9.2,224.8914,275.5,1997-01-01,135.9914,143.6984,1.225035728356,0.514365250836463
BGR,Bulgaria,1997,8.31,11.9,9.90231,9.27,1997-01-01,3.69199,4.96196,0.936145202483057,0.514365250836463
CZE,Czech Republic,1997,10.3,4.7,54.3637,6.24,1997-01-01,24.3204,22.0573,0.114782474334896,0.514365250836463
DNK,Denmark,1997,5.28,5.2,153.1519,NA,1997-01-01,51.2361,57.9094,NA,0.514365250836463
DEU,Germany,1997,82.03,9.6,1958.53,1142.5,1997-01-01,474141,497309,0.583346268217764,0.514365250836463
EST,Estonia,1997,1.4,9.6,4.47578,311,1997-01-01,3.6734,3.20499,0.0694850953353382,0.514365250836463
IRL,Ireland,1997,3.67,9.9,73.0837,43.6,1997-01-01,47.6331,56.3928,0.596576254349465,0.514365250836463
GRC,Greece,1997,10.66,9.8,126.3538,124.6,1997-01-01,29.12703,20.49744,0.986119926745377,0.514365250836463
ESP,Spain,1997,40.06,18.4,519607,331.6,1997-01-01,132.7,133.8183,0.63817462043429,0.514365250836463
FRA,France,1997,59.83,10.7,1289316,787.8,1997-01-01,288.0156,325.4579,0.611021657995402,0.514365250836463
HRV,Croatia,1997,4.53,NA,21.02652,NA,1997-01-01,9.29948,6.58527,NA,0.514365250836463
ITA,Italy,1997,56.89,11.2,1093807,1236.2,1997-01-01,224.0277,264.7043,1.13018110141917,0.514365250836463
CYP,Cyprus,1997,0.67,5.2,8.41417,4.48,1997-01-01,5.93858,5.82147,0.532435165916543,0.514365250836463
LVA,Latvia,1997,2.43,15.4,5.74917,0.62,1997-01-01,2.8031,2.28326,0.10784165366479,0.514365250836463
LTU,Lithuania,1997,3.58,6.5,8.92426,1.41,1997-01-01,4.91215,4.01295,0.157996293250085,0.514365250836463
LUX,Luxembourg,1997,0.42,2.7,17.41481,1.39,1997-01-01,16498,20.1745,0.0798171211744486,0.514365250836463
HUN,Hungary,1997,10.29,9.1,41.6358,24.34,1997-01-01,19.5641,19.9798,0.584593066543695,0.514365250836463
MLT,Malta,1997,0.38,6.1,3.33149,1569,1997-01-01,3.84743,3.68541,0.470960441123942,0.514365250836463
NLD,Netherlands,1997,15.61,6.5,363.7889,237.9,1997-01-01,197.1777,220.7528,0.653950684036814,0.514365250836463
AUT,Austria,1997,7.97,4.7,187442,117.8,1997-01-01,71.0095,69.5588,0.628461070624513,0.514365250836463
POL,Poland,1997,38.65,10.9,140.4392,56.9,1997-01-01,38.0794,32.8057,0.405157534363625,0.514365250836463
PRT,Portugal,1997,10.11,7.5,103.3326,56,1997-01-01,36.31304,28.05007,0.541939329892019,0.514365250836463
ROM,Romania,1997,22.55,6.1,31.67,4.33,1997-01-01,11.00549,8.86433,0.136722450268393,0.514365250836463
SVN,Slovenia,1997,1.99,6.9,18.30836,3.92,1997-01-01,8.92208,8.71364,0.214109838347072,0.514365250836463
SVK,Slovakia,1997,5.38,11.5,19.2991,6.31,1997-01-01,12.44281,10.6275,0.32695825193921,0.514365250836463
FIN,Finland,1997,5.14,12.7,111.9637,57.5,1997-01-01,34.10739,42.32333,0.513559305382012,0.514365250836463
SWE,Sweden,1997,8.85,9.9,233409,157,1997-01-01,77.2643,93.4843,0.672639015633502,0.514365250836463
GBR,United Kingdom,1997,58.32,6.8,1356131,617.7,1997-01-01,340.3981,345.9275,0.455486969916623,0.514365250836463
BEL,Belgium,1998,10.2,9.3,232869,277.2,1998-01-01,139924,147.6324,1.19036883397962,0.492557244346104
BGR,Bulgaria,1998,8.26,10.9,13.08008,9.13,1998-01-01,4.71705,5.63584,0.698007963254047,0.492557244346104
CZE,Czech Republic,1998,10.29,6.5,59.4359,8.48,1998-01-01,25.2932,25.1315,0.142674713430772,0.492557244346104
DNK,Denmark,1998,5.3,4.9,158.1465,NA,1998-01-01,54.0225,58.8839,NA,0.492557244346104
DEU,Germany,1998,82.05,9.4,2004.60,1199.3,1998-01-01,503745,530284,0.598274566770993,0.492557244346104
EST,Estonia,1998,1.39,9.2,5.01668,304,1998-01-01,4.21641,3.73146,0.0605978455871214,0.492557244346104
IRL,Ireland,1998,3.71,7.5,80.4873,41.4,1998-01-01,59.1742,68002,0.514366862846685,0.492557244346104
GRC,Greece,1998,10.72,11.1,129.0572,126.1,1998-01-01,33.51834,21.03192,0.977086129251216,0.492557244346104
ESP,Spain,1998,40.22,16.4,551397,346.4,1998-01-01,147.1184,144.3736,0.628222496676623,0.492557244346104
FRA,France,1998,60.05,10.3,1350164,829.4,1998-01-01,313.3722,348.2855,0.614295744813223,0.492557244346104
HRV,Croatia,1998,4.53,NA,22.70404,NA,1998-01-01,8.23649,6.69446,NA,0.492557244346104
ITA,Italy,1998,56.91,11.3,1131194,1258.2,1998-01-01,238.5382,272.8744,1.11227605521246,0.492557244346104
CYP,Cyprus,1998,0.68,5.1,9.15253,4.98,1998-01-01,6.06012,6.28759,0.544111846669719,0.492557244346104
LVA,Latvia,1998,2.41,14,6.41019,0.57,1998-01-01,3.28553,2.51208,0.0889209212207438,0.492557244346104
LTU,Lithuania,1998,3.55,13.2,10.02643,1.59,1998-01-01,5.06606,3.92282,0.158580870758585,0.492557244346104
LUX,Luxembourg,1998,0.42,2.7,18.05847,1.4,1998-01-01,19.2705,22.7859,0.0775259476578027,0.492557244346104
HUN,Hungary,1998,10.27,8.7,43.3679,24.79,1998-01-01,23.6283,22.9704,0.571620945445825,0.492557244346104
MLT,Malta,1998,0.39,6.2,3.55054,1.79,1998-01-01,4.01103,3.91751,0.504148664710157,0.492557244346104
NLD,Netherlands,1998,15.71,5.1,386.5175,244.6,1998-01-01,207.2142,230.8839,0.63283033756557,0.492557244346104
AUT,Austria,1998,7.98,4.7,194.4967,124.6,1998-01-01,75.1443,74.7889,0.64062783584503,0.492557244346104
POL,Poland,1998,38.66,10.2,154.7488,57,1998-01-01,47.4746,40.2069,0.368338882110879,0.492557244346104
PRT,Portugal,1998,10.16,6.1,110.7153,57.7,1998-01-01,40.39874,30.24946,0.521156515856435,0.492557244346104
ROM,Romania,1998,22.51,6.3,37.3143,4.85,1998-01-01,11.42427,8.5304,0.129976979335,0.492557244346104
SVN,Slovenia,1998,1.98,7.4,19.76597,4.43,1998-01-01,9.73163,9.3969,0.224122570255849,0.492557244346104
SVK,Slovakia,1998,5.39,12.7,20.3153,6.29,1998-01-01,11.63357,9.47854,0.309618858692709,0.492557244346104
FIN,Finland,1998,5.15,11.4,119.6419,56.4,1998-01-01,35.35529,44.8267,0.471406756328677,0.492557244346104
SWE,Sweden,1998,8.85,8.2,237893,149.4,1998-01-01,82.5882,97601,0.628013434611359,0.492557244346104
GBR,United Kingdom,1998,58.49,6.1,1449229,578.7,1998-01-01,358.1754,346.4817,0.399315774111614,0.492557244346104
BEL,Belgium,1999,10.23,8.5,244226,279.4,1999-01-01,146776,156057,1.1440223399638,0.510065726113217
BGR,Bulgaria,1999,8.21,12.3,12.68017,9.65,1999-01-01,6.05972,5.47387,0.761030806369315,0.510065726113217
CZE,Czech Republic,1999,10.28,8.7,60.6573,9.42,1999-01-01,26.3495,26.0938,0.155298702711792,0.510065726113217
DNK,Denmark,1999,5.32,5.2,166.9717,NA,1999-01-01,55.7583,65.7761,NA,0.510065726113217
DEU,Germany,1999,82.1,8.6,2064.88,1238.6,1999-01-01,543646,558369,0.599841152996784,0.510065726113217
EST,Estonia,1999,1.39,11.3,5.3787,348,1999-01-01,4.01464,3.77759,0.0646996486139774,0.510065726113217
IRL,Ireland,1999,3.75,5.7,92.7164,43.2,1999-01-01,68.1184,80.4016,0.465936986336829,0.510065726113217
GRC,Greece,1999,10.76,12,139.9434,136.5,1999-01-01,39.35422,26.94762,0.975394337996647,0.510065726113217
ESP,Spain,1999,40.39,13.6,594316,362.2,1999-01-01,168434,156883,0.60944009584127,0.510065726113217
FRA,France,1999,60.35,10,1408159,847.5,1999-01-01,331102,362177,0.601849649080821,0.510065726113217
HRV,Croatia,1999,4.51,NA,21.93881,NA,1999-01-01,8.00995,6.68197,NA,0.510065726113217
ITA,Italy,1999,56.92,10.9,1171901,1285.1,1999-01-01,251.6622,272.4728,1.09659433689365,0.510065726113217
CYP,Cyprus,1999,0.69,5.4,9.83964,5.42,1999-01-01,6.32526,6.58538,0.550833160562785,0.510065726113217
LVA,Latvia,1999,2.39,14.1,7.04586,0.9,1999-01-01,3.15938,2.46825,0.127734584564553,0.510065726113217
LTU,Lithuania,1999,3.52,14.6,10.29351,2.48,1999-01-01,4.36427,3.33657,0.240928507379893,0.510065726113217
LUX,Luxembourg,1999,0.43,2.4,20.87064,1.41,1999-01-01,22.6211,27305,0.0675590207104334,0.510065726113217
HUN,Hungary,1999,10.24,6.9,46.0418,27.34,1999-01-01,26.8523,25.6115,0.593808235125473,0.510065726113217
